error,image_name,lidar_file_name,detectorType,descriptorType,matcherType,matcherTypeMetric,matcherTypeSelector,ttc_camera,ttc_lidar,detect_time,desc_time,match_time,detect_keypoints_size,match_keypoints_size,match_removed_keypoints_size,bVis,bLimitKpts,maxKeypoints,bVisshow3DObjects
0,../images/KITTI/2011_09_26/image_02/data/0000000000.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000000.bin,FAST,BRISK,MAT_BF,DES_BINARY,SEL_NN,"","",1,346,0,1864,0,0,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000001.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000001.bin,FAST,BRISK,MAT_BF,DES_BINARY,SEL_NN,"-9223372036854775808","12",1,325,40,1898,1806,0,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000002.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000002.bin,FAST,BRISK,MAT_BF,DES_BINARY,SEL_NN,"-21","12",1,335,36,1865,1841,0,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000003.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000003.bin,FAST,BRISK,MAT_BF,DES_BINARY,SEL_NN,"23","14",1,321,38,1840,1810,0,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000004.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000004.bin,FAST,BRISK,MAT_BF,DES_BINARY,SEL_NN,"-14","16",1,330,36,1867,1789,0,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000005.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000005.bin,FAST,BRISK,MAT_BF,DES_BINARY,SEL_NN,"10","15",0,320,38,1876,1819,0,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000006.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000006.bin,FAST,BRISK,MAT_BF,DES_BINARY,SEL_NN,"-7","12",1,320,35,1843,1823,0,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000007.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000007.bin,FAST,BRISK,MAT_BF,DES_BINARY,SEL_NN,"-9223372036854775808","12",1,315,34,1829,1788,0,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000008.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000008.bin,FAST,BRISK,MAT_BF,DES_BINARY,SEL_NN,"25","13",0,320,33,1843,1772,0,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000009.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000009.bin,FAST,BRISK,MAT_BF,DES_BINARY,SEL_NN,"-25","13",1,315,34,1818,1785,0,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000010.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000010.bin,FAST,BRISK,MAT_BF,DES_BINARY,SEL_NN,"2376","11",0,323,34,1879,1737,0,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000011.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000011.bin,FAST,BRISK,MAT_BF,DES_BINARY,SEL_NN,"25","12",1,312,35,1849,1798,0,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000012.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000012.bin,FAST,BRISK,MAT_BF,DES_BINARY,SEL_NN,"10","9",1,318,34,1826,1796,0,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000013.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000013.bin,FAST,BRISK,MAT_BF,DES_BINARY,SEL_NN,"12","10",1,320,34,1842,1760,0,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000014.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000014.bin,FAST,BRISK,MAT_BF,DES_BINARY,SEL_NN,"15","9",0,319,33,1833,1787,0,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000015.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000015.bin,FAST,BRISK,MAT_BF,DES_BINARY,SEL_NN,"9","8",1,324,35,1921,1773,0,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000016.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000016.bin,FAST,BRISK,MAT_BF,DES_BINARY,SEL_NN,"-9223372036854775808","9",1,320,38,1934,1871,0,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000017.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000017.bin,FAST,BRISK,MAT_BF,DES_BINARY,SEL_NN,"12","9",0,325,38,1946,1877,0,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000018.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000018.bin,FAST,BRISK,MAT_BF,DES_BINARY,SEL_NN,"0","8",1,321,38,1961,1872,0,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000000.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000000.bin,FAST,BRISK,MAT_BF,DES_BINARY,SEL_KNN,"","",1,329,0,1864,0,0,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000001.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000001.bin,FAST,BRISK,MAT_BF,DES_BINARY,SEL_KNN,"-9223372036854775808","12",1,320,36,1898,1023,783,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000002.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000002.bin,FAST,BRISK,MAT_BF,DES_BINARY,SEL_KNN,"37","12",1,316,36,1865,994,847,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000003.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000003.bin,FAST,BRISK,MAT_BF,DES_BINARY,SEL_KNN,"20","14",0,334,36,1840,962,848,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000004.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000004.bin,FAST,BRISK,MAT_BF,DES_BINARY,SEL_KNN,"13","16",1,321,35,1867,960,829,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000005.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000005.bin,FAST,BRISK,MAT_BF,DES_BINARY,SEL_KNN,"-9223372036854775808","15",1,323,36,1876,1016,803,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000006.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000006.bin,FAST,BRISK,MAT_BF,DES_BINARY,SEL_KNN,"175","12",1,324,35,1843,969,854,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000007.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000007.bin,FAST,BRISK,MAT_BF,DES_BINARY,SEL_KNN,"18","12",1,319,35,1829,917,871,0,0,50,0
