error,image_name,lidar_file_name,detectorType,descriptorType,matcherType,matcherTypeMetric,matcherTypeSelector,ttc_camera,ttc_lidar,detect_time,desc_time,match_time,detect_keypoints_size,match_keypoints_size,match_removed_keypoints_size,bVis,bLimitKpts,maxKeypoints,bVisshow3DObjects
0,../images/KITTI/2011_09_26/image_02/data/0000000000.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000000.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"","",1,353,0,1864,0,0,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000001.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000001.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"18","12",0,336,31,1898,750,1056,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000002.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000002.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"17","12",1,332,32,1865,759,1082,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000003.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000003.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"8","14",1,336,32,1840,739,1071,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000004.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000004.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"11","16",1,336,31,1867,725,1064,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000005.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000005.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"10","15",1,330,31,1876,763,1056,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000006.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000006.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"","12",1,335,32,1843,725,1098,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000007.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000007.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"18","12",1,336,31,1829,650,1138,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000008.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000008.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"11","13",1,334,31,1843,695,1077,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000009.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000009.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"-9223372036854775808","13",1,335,32,1818,700,1085,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000010.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000010.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"12","11",1,339,31,1879,687,1050,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000011.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000011.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"10","12",1,339,32,1849,685,1113,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000012.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000012.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"13","9",1,332,30,1826,706,1090,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000013.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000013.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"11","10",1,337,31,1842,718,1042,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000014.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000014.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"11","9",1,336,32,1833,728,1059,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000015.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000015.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"10","8",1,337,31,1921,740,1033,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000016.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000016.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"14","9",1,335,33,1934,778,1093,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000017.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000017.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"7","9",1,338,34,1946,820,1057,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000018.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000018.bin,FAST,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"11","8",1,336,33,1961,784,1088,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000000.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000000.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"","",361,346,0,2896,0,0,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000001.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000001.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"11","12",363,350,52,3000,1169,1727,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000002.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000002.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"36","12",362,348,56,2974,1196,1804,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000003.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000003.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"18","14",357,347,55,2953,1194,1780,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000004.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000004.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"75","16",360,345,53,2855,1133,1820,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000005.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000005.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"29","15",363,350,53,2906,1154,1701,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000006.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000006.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"11","12",363,346,53,2886,1120,1786,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000007.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000007.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"17","12",361,348,54,2886,1097,1789,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000008.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000008.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"14","13",362,345,52,2893,1108,1778,0,0,50,0
0,../images/KITTI/2011_09_26/image_02/data/0000000009.png,../images/KITTI/2011_09_26/velodyne_points/data/0000000009.bin,BRISK,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,"24","13",362,348,53,2930,1126,1767,0,0,50,0
